iter	Passed	Remaining
0	3	3627
1	4	2438
2	6	2017
3	7	1905
4	11	2264
5	13	2292
6	16	2314
7	19	2394
8	22	2472
9	23	2347
10	25	2319
11	46	3820
12	51	3906
13	52	3718
14	62	4086
15	70	4322
16	72	4215
17	75	4094
18	81	4193
19	85	4168
20	87	4093
21	90	4043
22	94	4005
23	96	3918
24	98	3836
25	101	3809
26	103	3745
27	107	3738
28	110	3705
29	113	3666
30	117	3684
31	119	3603
32	120	3535
33	122	3472
34	129	3567
35	137	3682
36	138	3610
37	139	3542
38	141	3477
39	142	3415
40	143	3357
41	146	3335
42	148	3315
43	170	3695
44	177	3767
45	180	3750
46	183	3722
47	185	3680
48	190	3688
49	192	3654
50	194	3618
51	196	3586
52	198	3552
53	201	3529
54	203	3501
55	205	3466
56	210	3485
57	212	3445
58	214	3419
59	218	3428
60	220	3400
61	227	3436
62	233	3468
63	235	3446
64	240	3458
65	243	3447
66	246	3438
67	251	3443
68	257	3475
69	260	3462
70	263	3449
71	268	3461
72	271	3448
73	274	3429
74	281	3477
75	286	3481
76	290	3476
77	293	3470
78	302	3522
79	304	3504
80	307	3493
81	313	3507
82	317	3513
83	319	3485
84	321	3464
85	325	3460
86	327	3439
87	332	3443
88	334	3424
89	335	3394
90	338	3386
91	341	3375
92	343	3348
93	344	3321
94	345	3294
95	351	3308
96	353	3289
97	354	3263
98	359	3270
99	364	3279
100	375	3344
101	382	3368
102	383	3343
103	396	3414
104	397	3388
105	405	3416
106	429	3585
107	431	3560
108	432	3535
109	435	3521
110	471	3774
111	474	3760
112	478	3756
113	479	3728
114	481	3704
115	489	3728
116	491	3707
117	493	3688
118	497	3683
119	499	3665
120	504	3664
121	507	3654
122	509	3631
123	510	3607
124	513	3591
125	515	3576
126	517	3556
127	519	3539
128	520	3516
129	523	3501
130	526	3492
131	531	3497
132	533	3475
133	540	3495
134	542	3473
135	543	3453
136	546	3439
137	551	3444
138	553	3428
139	558	3432
140	563	3430
141	565	3415
142	566	3395
143	571	3400
144	573	3379
145	589	3446
146	591	3433
147	595	3426
148	597	3410
149	597	3388
150	600	3374
151	602	3362
152	603	3343
153	605	3324
154	608	3317
155	610	3301
156	612	3291
157	617	3293
158	620	3282
159	622	3269
160	627	3270
161	629	3256
162	632	3246
163	635	3237
164	640	3241
165	643	3234
166	646	3222
167	653	3237
168	657	3233
169	659	3218
170	664	3220
171	665	3203
172	667	3190
173	669	3176
174	670	3160
175	684	3203
176	692	3218
177	696	3217
178	699	3207
179	701	3193
180	703	3181
181	704	3167
182	707	3157
183	709	3145
184	716	3154
185	719	3150
186	721	3138
187	723	3126
188	724	3110
189	727	3099
190	730	3093
191	735	3095
192	737	3085
193	740	3077
194	743	3068
195	745	3057
196	747	3047
197	749	3035
198	750	3020
199	761	3044
200	766	3046
201	767	3033
202	770	3026
203	773	3018
204	775	3008
205	777	2997
206	779	2986
207	782	2978
208	783	2964
209	785	2953
210	786	2942
211	790	2937
212	792	2927
213	794	2918
214	796	2907
215	797	2894
216	799	2886
217	802	2877
218	803	2866
219	806	2858
220	807	2847
221	812	2847
222	816	2845
